"DiscreteTimes","Duration","Mean","Var","M","Alg"
7.5,10.0,20.104081727463978,0.0046299419652683135,1024,"Direct MC"
7.6,10.0,20.46704090634347,0.004753036680173265,1024,"Direct MC"
7.7,10.0,20.852830079942343,0.004883684562377994,1024,"Direct MC"
7.8,10.0,21.242510902722557,0.005009613828806433,1024,"Direct MC"
7.9,10.0,21.607953369200374,0.0051212960087537295,1024,"Direct MC"
8.0,10.0,21.99583814213875,0.005266231801933515,1024,"Direct MC"
8.1,10.0,22.384272343596496,0.005373764969578003,1024,"Direct MC"
8.2,10.0,22.785610137477256,0.005504527442108885,1024,"Direct MC"
8.3,10.0,23.182341555168097,0.005590262918090933,1024,"Direct MC"
8.4,10.0,23.558559671549716,0.005705026627987444,1024,"Direct MC"
8.5,10.0,23.969467995720564,0.005810083634791494,1024,"Direct MC"
