"t","mean","q05","q95","q25","q75","traj1","traj2","traj3","traj4","traj5","traj6","traj7","traj8","traj9","traj10","traj11","traj12","traj13","traj14","traj15","traj16","traj17","traj18","traj19","traj20"
4.9,100.00614839454677,98.87973925549346,101.13177880311902,99.54488523423592,100.47185324257558,100.35533902011694,100.66585838886522,100.13706543659231,99.54158497684615,99.09395783141717,101.14412355858504,100.64029784501862,100.9620574288958,101.2999207372569,100.23942197767953,99.42991560391802,100.17098882774097,100.18297955289923,99.91328366858119,99.87836623375192,98.76975208971193,99.11269044008135,99.87625158882352,98.6493802534559,99.94852204886065
5.0,100.0058260263768,98.86082538198427,101.15390752747543,99.53942043448343,100.47525808381016,100.35751034064441,100.63010218865737,100.17431983698606,99.52995404955382,99.08115690518811,101.20043620982443,100.64580986673064,101.01155506590393,101.3307643130705,100.21570084088293,99.44953597720696,100.17736777233245,100.1903705340092,99.86871403534661,99.89463048101706,98.75443489160537,99.09995738403305,99.89366820794145,98.6507986585538,99.94049399018418
5.1,100.00559553495525,98.84212924302985,101.16974299831294,99.53085693985204,100.48277429548978,100.36494886063367,100.6035600735691,100.19501378650337,99.50615860939244,99.06769317029045,101.25134347914255,100.65549169053527,101.05317756173503,101.36406909447143,100.18658032994237,99.46009130571896,100.1651283270938,100.18875352278042,99.84000338110195,99.9170724567715,98.7464731677467,99.09493540187071,99.89951886685324,98.64736500056605,99.92901263075129
5.2,100.00547292708124,98.82242094669321,101.18278978477029,99.52160998260186,100.48464572170629,100.37873345750393,100.59748771147773,100.21036122179227,99.48029830101417,99.05647350948988,101.28497150584465,100.66141915710162,101.09582909737772,101.41438359593582,100.17021078067414,99.46435463518442,100.15127719690624,100.18592956005705,99.81576815134345,99.9415971318413,98.75169655703135,99.09282686378236,99.8999714561775,98.63512814901307,99.92453873182383
5.3,100.00528815452135,98.80264278589819,101.20190818339027,99.51495716399243,100.4888771880737,100.38732511118822,100.60621514784872,100.2276892359089,99.45684434552814,99.04700278627651,101.32414363421634,100.65453824845038,101.14290349873073,101.44617726955725,100.1563207714647,99.45932845132157,100.14938020270269,100.18828235956181,99.8006040932308,99.96545450964003,98.7454167276739,99.0863291789144,99.89514201303872,98.62205788764615,99.93329481309739
5.4,100.00505136982049,98.78128988092975,101.2144676311295,99.50729162055268,100.4972738285478,100.39648786295366,100.6227750585401,100.25910821320493,99.44215976275204,99.04357334866587,101.35954519409087,100.63443320044429,101.1864924262346,101.46285155023034,100.12578709372953,99.43874927836603,100.14617374371504,100.19929085646079,99.77714453714064,99.9842353797072,98.7317030333166,99.07016036956846,99.87699482862035,98.60845821742431,99.95285558904355
5.5,100.00477152083859,98.76543004588639,101.22920471462085,99.50126589993332,100.50092359614037,100.40944711498851,100.64175103206655,100.29328422216628,99.42624948225954,99.04220354178318,101.38062281565077,100.62237292861465,101.22440672764395,101.49187367243492,100.08486307844865,99.41688200626369,100.13284858004029,100.21098042935799,99.7576928745727,100.01157941697777,98.70956670909187,99.06330888456317,99.85892957993443,98.59841998380244,99.96845227486763
5.6,100.00450668229853,98.75274668436553,101.24142081009987,99.49748427515426,100.50807738437595,100.41410150463648,100.6584673748764,100.31623931092042,99.41038891704173,99.02733350038137,101.40288688323058,100.61433205655734,101.26309952177218,101.52091289953296,100.04353986125578,99.4013237194636,100.12495778042629,100.21178386709097,99.74213097221475,100.03176933855856,98.69841888210195,99.06379151653316,99.84241639319211,98.58239112968403,99.98246869483388
5.7,100.0043277075266,98.74248100569105,101.25963129936332,99.49041511463025,100.51701269162227,100.42461626981616,100.67157131267405,100.33880716581498,99.39882391080789,99.02829125576709,101.41807907171172,100.59521845608876,101.29275922719391,101.56268332407174,100.01346577979433,99.38258810672534,100.12357818896248,100.21618423591725,99.72825115385226,100.02892022860946,98.68909694971478,99.06255682658693,99.82281601050717,98.56981509393408,99.98907426193246
5.8,100.00407269811306,98.73058343413535,101.27876526741812,99.48829909141524,100.52636856045225,100.44150254417394,100.67781392490095,100.35857209604589,99.39869331781567,99.03480366136225,101.43191180851618,100.5687282000047,101.31953568737961,101.61517483976397,99.99384541930343,99.36496644366706,100.13384892070346,100.21680067237796,99.7186320757887,100.031067930893,98.67877587681332,99.06616178532302,99.80467883091075,98.5553514607242,99.99575488565401
5.9,100.00375779261529,98.71719192751087,101.29001926688323,99.48129018012465,100.53277669654918,100.45497426937608,100.69477862507863,100.38086761525928,99.40085206994652,99.04037440499432,101.44223489485356,100.54113752187078,101.3310873371527,101.65685189146852,99.97226936057011,99.35233711391425,100.15600642660527,100.23264980094909,99.70211065582104,100.04996563503526,98.66473858923973,99.07222617325395,99.79923126896739,98.54463974916703,99.99662651086852
6.0,100.00340426608652,98.70066875887439,101.31008441825988,99.4737025141197,100.53561944007853,100.47036316413077,100.71297004624068,100.40667314926499,99.39370649013402,99.05894666122255,101.46561287070018,100.50998214378446,101.32351754557324,101.69197004510919,99.9583465444615,99.3388332579353,100.18591070349048,100.23990260527364,99.68010871201689,100.07263696960281,98.65371751706382,99.07715947737154,99.80147291205061,98.53067044890263,99.99007965271039
6.1,100.00309197626454,98.68579431452494,101.33183371134635,99.4678218359259,100.54268739204628,100.48350415064425,100.73953244449467,100.42828933491155,99.37614748468263,99.08719931221792,101.48554358449054,100.4732926354137,101.30950747174342,101.71894664587896,99.93893921074084,99.32790782593831,100.21707845283127,100.24313238255836,99.65961765605064,100.09831584546227,98.63819722840789,99.09050218264751,99.80541063808703,98.51461651803136,99.97844913103472
6.2,100.00282296014652,98.6717685960111,101.34150845255469,99.4669060393624,100.54864166226938,100.49307606920358,100.76496522449925,100.45398626163025,99.34172363147292,99.10531910582733,101.49676610132448,100.43501753725464,101.28805285899347,101.74759065686138,99.9283141748207,99.31666502060105,100.23773500045687,100.25245327111618,99.63775062186578,100.11981831848212,98.62764484123237,99.1041020373251,99.81395827868833,98.50130336947994,99.94912467426921
6.3,100.0024902458428,98.65724487824859,101.3576788094592,99.45804481740224,100.55267833172223,100.5048614082206,100.78339294662213,100.47681422902323,99.31614236013563,99.12557475798971,101.51089785881021,100.41666365028615,101.25935031991831,101.76946743271608,99.9185950985192,99.29896354530729,100.25815174899873,100.24663011742008,99.62083590679984,100.13341679995372,98.62446579172298,99.11562117099352,99.81099521934739,98.48519151964575,99.91372256661934
6.4,100.00214021828829,98.6402778484655,101.37844138546309,99.45086519377315,100.5615929485704,100.53143140496796,100.79578954349645,100.50951699785887,99.30186426947036,99.15282595846152,101.53596198930764,100.4120200381781,101.23871100656422,101.78733527705513,99.91082834220497,99.27486313277599,100.27235086483981,100.24626202777905,99.62125019434274,100.14929362091823,98.62145702684722,99.13292692843258,99.8110424247612,98.46638165879364,99.88675712994225
6.5,100.0017871952568,98.62788965232592,101.39167358053072,99.4468603158865,100.56654261613816,100.56975840006794,100.8089520835477,100.53529726732951,99.30223802640243,99.18801439615002,101.54152873994191,100.40547626070358,101.20734830682927,101.81159845467188,99.91237176799955,99.25043587349764,100.28307219438402,100.25783049459707,99.62721386544479,100.16305151215776,98.61765361696271,99.14756746198388,99.81389374502035,98.45299915896643,99.85061822832351
6.6,100.00153755374835,98.61576167296778,101.40727983569057,99.44370362786455,100.57009239126484,100.61104616200419,100.82091128470258,100.5491635627039,99.31813984069919,99.21917390571949,101.54389326282612,100.39000902609868,101.1923271532593,101.84316724247255,99.91120207604995,99.22011065470825,100.29459921825607,100.26243099423944,99.6212075214423,100.18148354425152,98.62319722593116,99.15114850741764,99.83574006285795,98.43344755321064,99.80640342642016
