"t","Cov","SqDiff","Var","Nobs"
43.34,-5.05631275356008e-7,2.805827728996988e-6,2.806108339830971e-10,10000
43.35,-5.065577920742682e-7,2.805757365388996e-6,2.806037969185915e-10,10000
43.36,-5.080822892641757e-7,2.8054394276585256e-6,2.8057199996584914e-10,10000
43.37,-5.102409674042385e-7,2.805127369884278e-6,2.8054079106753453e-10,10000
43.38,-5.123921438675186e-7,2.8043958983583427e-6,2.804676365994942e-10,10000
43.39,-5.14998727557274e-7,2.803654755894022e-6,2.803935149408963e-10,10000
43.4,-5.176626496798336e-7,2.8029263043598594e-6,2.8032066250223615e-10,10000
43.41,-5.199848688894916e-7,2.8025918123656514e-6,2.802872099575609e-10,10000
43.42,-5.223705065711927e-7,2.8025717405501547e-6,2.80285202575273e-10,10000
43.43,-5.251235786639819e-7,2.802488699130202e-6,2.8027689760278047e-10,10000
43.44,-5.287150848864468e-7,2.8024737369628785e-6,2.802754012364115e-10,10000
43.45,-5.320834864068298e-7,2.8026577968874445e-6,2.8029380906965144e-10,10000
43.46,-5.363052750945417e-7,2.802821201429815e-6,2.803101511580973e-10,10000
43.47,-5.395303308011577e-7,2.80295355382458e-6,2.803233877212301e-10,10000
43.48,-5.422481076685786e-7,2.8031823812438943e-6,2.803462727516646e-10,10000
43.49,-5.45342148307352e-7,2.8033227588744536e-6,2.8036031191863725e-10,10000
43.5,-5.49012108157574e-7,2.803325724340947e-6,2.803606084949442e-10,10000
43.51,-5.528459214872359e-7,2.803190777870232e-6,2.8034711249827303e-10,10000
43.52,-5.567594959165529e-7,2.8034601351507336e-6,2.8037405092016536e-10,10000
43.53,-5.600412536686337e-7,2.803725493569423e-6,2.804005894158839e-10,10000
43.54,-5.631976391877805e-7,2.803801093204864e-6,2.8040815013549994e-10,10000
43.55,-5.660203400873966e-7,2.803827127433206e-6,2.8041075381870246e-10,10000
43.56,-5.688473513485301e-7,2.803919224391903e-6,2.8041996443563385e-10,10000
43.57,-5.714850199541663e-7,2.804157672552605e-6,2.8044381163642415e-10,10000
43.58,-5.73418490104535e-7,2.804338423665087e-6,2.8046188855536424e-10,10000
43.59,-5.754173074367681e-7,2.8043774830236546e-6,2.8046579488185364e-10,10000
43.6,-5.769186740634863e-7,2.804705040771917e-6,2.8049855393258493e-10,10000
43.61,-5.787246157832251e-7,2.804907756921553e-6,2.805188275749128e-10,10000
43.62,-5.811189941681052e-7,2.8047855730673958e-6,2.805066079675363e-10,10000
43.63,-5.84336147373618e-7,2.8048671031764656e-6,2.8051476179382595e-10,10000
43.64,-5.880351391940734e-7,2.80512088340262e-6,2.8054014235449744e-10,10000
43.65,-5.909331104808073e-7,2.805027649549929e-6,2.8053081803679657e-10,10000
43.66,-5.940992817827392e-7,2.8047019637663218e-6,2.804982462012523e-10,10000
43.67,-5.975897268363493e-7,2.8046576700424046e-6,2.8049381638587904e-10,10000
43.68,-6.005587066007038e-7,2.804954324196333e-6,2.805234847681101e-10,10000
43.69,-6.028436085578204e-7,2.80527638799852e-6,2.8055569436928896e-10,10000
43.7,-6.052019504481774e-7,2.805402840510832e-6,2.805683408851717e-10,10000
43.71,-6.071832694923075e-7,2.8054513937498823e-6,2.805731966946577e-10,10000
43.72,-6.087843139468007e-7,2.8055524659749283e-6,2.805833049279856e-10,10000
43.73,-6.111067077050976e-7,2.8057437560809475e-6,2.8060243585167993e-10,10000
43.74,-6.138633569460108e-7,2.8059070975301053e-6,2.8061877163017354e-10,10000
43.75,-6.166295644382914e-7,2.8058466134397582e-6,2.8061272261623744e-10,10000
43.76,-6.195612061210473e-7,2.8055457042545434e-6,2.8058262868832317e-10,10000
43.77,-6.230419931121539e-7,2.8053455185920436e-6,2.805626081200164e-10,10000
43.78,-6.261048281744573e-7,2.8052135261662637e-6,2.805494075573821e-10,10000
43.79,-6.285007180101046e-7,2.805187063416435e-6,2.8054676101774526e-10,10000
43.8,-6.302065006428993e-7,2.804840022184944e-6,2.805120534238368e-10,10000
43.81,-6.325256325065396e-7,2.804282427038882e-6,2.8045628833272147e-10,10000
43.82,-6.345604857190244e-7,2.803853392978675e-6,2.8041338063593106e-10,10000
43.83,-6.369955886472947e-7,2.8036805636340133e-6,2.8039609597299866e-10,10000
43.84,-6.391460721987791e-7,2.803529009218723e-6,2.803809390157739e-10,10000
43.85,-6.40376687353616e-7,2.8037498744867405e-6,2.804030277514492e-10,10000
43.86,-6.411048648845932e-7,2.803856736663624e-6,2.8041371503786623e-10,10000
43.87,-6.423809914318054e-7,2.8040490768128114e-6,2.8043295097637876e-10,10000
43.88,-6.442118757004273e-7,2.804158671275646e-6,2.804439115187165e-10,10000
43.89,-6.458602215570894e-7,2.804353259701678e-6,2.8046337230739855e-10,10000
43.9,-6.4844116025034e-7,2.8046004763017625e-6,2.804880964398202e-10,10000
43.91,-6.510978259456901e-7,2.8048110620846045e-6,2.805091571241729e-10,10000
43.92,-6.535141757624952e-7,2.804945929206379e-6,2.805226451851564e-10,10000
43.93,-6.562870736030815e-7,2.8050480786690365e-6,2.80532861153019e-10,10000
43.94,-6.584590611985263e-7,2.8050435988850425e-6,2.8053241312981724e-10,10000
43.95,-6.61035260734303e-7,2.8049335781804994e-6,2.8052140995904583e-10,10000
43.96,-6.638482899204155e-7,2.8049200133976584e-6,2.8052005334510035e-10,10000
43.97,-6.665258034781304e-7,2.8049619261006754e-6,2.80524245034571e-10,10000
43.98,-6.695628848474233e-7,2.805223907597362e-6,2.8055044580431666e-10,10000
43.99,-6.726572297628353e-7,2.8055758429679957e-6,2.805856428610857e-10,10000
44.0,-6.761300130419348e-7,2.805713889986629e-6,2.8059944894355726e-10,10000
44.01,-6.788393936765791e-7,2.805867801772902e-6,2.8061484166145634e-10,10000
44.02,-6.822691662728003e-7,2.805982499022676e-6,2.8062631253352093e-10,10000
44.03,-6.861841980948662e-7,2.805859375262461e-6,2.8061399892613873e-10,10000
44.04,-6.895672180424903e-7,2.8054999834135246e-6,2.8057805614696714e-10,10000
44.05,-6.92407767251752e-7,2.805175202522226e-6,2.805455748097036e-10,10000
44.06,-6.944601946531988e-7,2.8047116822750407e-6,2.80499218149319e-10,10000
44.07,-6.97030660137457e-7,2.804267483542609e-6,2.8045479383364427e-10,10000
44.08,-6.993609701154678e-7,2.803604739060446e-6,2.803885127573203e-10,10000
44.09,-7.011402371882856e-7,2.802797193832984e-6,2.8030775015831425e-10,10000
44.1,-7.032292176991323e-7,2.8022428729288658e-6,2.80252312524139e-10,10000
44.11,-7.059274052471892e-7,2.8015847422200527e-6,2.801864928712924e-10,10000
44.12,-7.088745495824963e-7,2.800940228041336e-6,2.801220350076344e-10,10000
44.13,-7.117206879284516e-7,2.800549322602225e-6,2.800829405542779e-10,10000
44.14,-7.145371542011579e-7,2.800151260123202e-6,2.800431303253527e-10,10000
44.15,-7.179348483978223e-7,2.7998785485131188e-6,2.800158564369556e-10,10000
44.16,-7.20483080098532e-7,2.799882654028034e-6,2.8001626702950634e-10,10000
44.17,-7.225635001462781e-7,2.7999371040052618e-6,2.8002171257178336e-10,10000
44.18,-7.240257711961076e-7,2.8002070437888174e-6,2.800487092498067e-10,10000
44.19,-7.255461724850993e-7,2.8004819303085356e-6,2.8007620065091867e-10,10000
44.2,-7.274982669065042e-7,2.800899268608239e-6,2.8011793865468936e-10,10000
44.21,-7.301722560180367e-7,2.801283252937262e-6,2.8015634092781895e-10,10000
44.22,-7.333553040042152e-7,2.8015867454400096e-6,2.801866932133223e-10,10000
44.23,-7.355396562325026e-7,2.801528908410135e-6,2.801809089319067e-10,10000
44.24,-7.372939708959409e-7,2.801221684867267e-6,2.801501835050772e-10,10000
44.25,-7.392843316875825e-7,2.801116200628939e-6,2.8013963402629655e-10,10000
44.26,-7.413918042773731e-7,2.8011080050108347e-6,2.8013881438252174e-10,10000
44.27,-7.445235271147544e-7,2.800884939372293e-6,2.801165055877881e-10,10000
44.28,-7.479721501641315e-7,2.800740985040951e-6,2.8010210871496663e-10,10000
44.29,-7.514155540375486e-7,2.8006502024316604e-6,2.8009302954612064e-10,10000
44.3,-7.550422548284542e-7,2.8006309891746734e-6,2.800911080282702e-10,10000
44.31,-7.590009306681555e-7,2.800543854315516e-6,2.800823936709187e-10,10000
44.32,-7.627675246594431e-7,2.8005527833374993e-6,2.800832866624162e-10,10000
44.33,-7.654780877108577e-7,2.8005163331490604e-6,2.8007964127903394e-10,10000
44.34,-7.686255183335357e-7,2.800158649139534e-6,2.800438693008835e-10,10000
44.35,-7.715949736158035e-7,2.7999978683919113e-6,2.8002778961815295e-10,10000
44.36,-7.743988341771446e-7,2.7998093060169847e-6,2.8000893149484796e-10,10000
44.37,-7.768368639992783e-7,2.79961241213595e-6,2.7998924013760874e-10,10000
44.38,-7.801995328751923e-7,2.7996090218896343e-6,2.799889010790713e-10,10000
44.39,-7.842314004394894e-7,2.799663505326643e-6,2.799943499676611e-10,10000
44.4,-7.88690659316018e-7,2.7996632701668545e-6,2.7999432644933036e-10,10000
44.41,-7.932784934898421e-7,2.799408753417614e-6,2.799688722289843e-10,10000
44.42,-7.970067042622956e-7,2.7994072568684615e-6,2.7996872255910207e-10,10000
44.43,-7.998139569861825e-7,2.7994373510967806e-6,2.799717322829064e-10,10000
44.44,-8.015878750496422e-7,2.799245724327904e-6,2.7995256768955936e-10,10000
44.45,-8.033660349354929e-7,2.7991638824400894e-6,2.7994438268227716e-10,10000
44.46,-8.05568055316361e-7,2.799114970246806e-6,2.79939490973778e-10,10000
44.47,-8.085805507005989e-7,2.7989952575119546e-6,2.7992751850304576e-10,10000
44.48,-8.117011850557067e-7,2.798747812297878e-6,2.799027715069385e-10,10000
44.49,-8.150472985553494e-7,2.798569918343483e-6,2.798849803323815e-10,10000
44.5,-8.180264867953917e-7,2.798509827471829e-6,2.7987897064424733e-10,10000
44.51,-8.207122577122699e-7,2.7984041570095527e-6,2.798684025412094e-10,10000
44.52,-8.23560910235866e-7,2.798470549413258e-6,2.7987504244557034e-10,10000
44.53,-8.263835091824524e-7,2.7986734092217642e-6,2.7989533045522196e-10,10000
