"DiscreteTimes","Mean","Var","M"
0.7,1.0290158304472579,0.00015325827534914472,128
0.8,1.216727418863661,0.00018308692416020252,128
0.9,1.4047304587466463,0.00021190092560800742,128
1.0,1.5905431125363936,0.00024090479505961714,128
1.1,1.7887812253380215,0.000269529237712705,128
1.2,1.9889987707802994,0.000300896833292812,128
1.3,2.1900771175720024,0.00033462244932902394,128
1.4,2.3955008270991147,0.00037014302963654693,128
1.5,2.601081112027573,0.0004063550301355284,128
1.6,2.816754963665164,0.0004427061847602759,128
1.7,3.0358386234811214,0.0004809743668846762,128
1.8,3.2505227726938917,0.0005169728014744274,128
1.9,3.4573464250491255,0.0005588862911505054,128
2.0,3.6869399514019117,0.0006013212052563327,128
2.1,3.930992177381667,0.000651131591851316,128
2.2,4.158283510925252,0.0006966874713899565,128
2.3,4.39936852275749,0.0007455682354511235,128
2.4,4.648522838309332,0.0008003120837699727,128
2.5,4.8948673297078535,0.0008512457440299364,128
2.6,5.142747868053217,0.0009052651009238122,128
2.7,5.413082063942579,0.0009625008186660976,128
2.8,5.677124589568307,0.0010412968901080232,128
2.9,5.944600369296878,0.0011047183080548446,128
3.0,6.227210877010222,0.0011672441344521666,128
3.1,6.5006225109098175,0.0012409316579317369,128
3.2,6.7961749371196145,0.001307382448006579,128
3.3,7.092135493126681,0.0013861968595666489,128
3.4,7.378552557120489,0.0014721438748437898,128
3.5,7.683851784345751,0.00157874361008506,128
3.6,7.996925744938449,0.001676903524507891,128
3.7,8.306042256547313,0.0017629219543445365,128
3.8,8.622144965825322,0.0018499488069104722,128
3.9,8.942935251451035,0.0019415121656959342,128
4.0,9.265550532005578,0.002034325283551851,128
4.1,9.603872485243336,0.002132331490428937,128
4.2,9.943643829903715,0.002226731795651951,128
4.3,10.284138462950812,0.002336084085917576,128
4.4,10.628342474882308,0.002437205047567344,128
4.5,10.971971589461695,0.002530058613956512,128
4.6,11.313710906782498,0.0026328796996523372,128
4.7,11.663408451935393,0.0027343223085026227,128
4.8,12.043497243659054,0.002861751877838286,128
4.9,12.422041614517976,0.0029828862036025425,128
5.0,12.808684052913597,0.0031117513586328433,128
5.1,13.182369701414427,0.0032496395788161043,128
5.2,13.5680060013259,0.0033976037488290716,128
5.3,13.950025973287518,0.003538704870515541,128
5.4,14.333105924108674,0.003673657408256367,128
5.5,14.72034982788116,0.003843170230127211,128
5.6,15.11786872407055,0.003975546548361552,128
5.7,15.516335246959562,0.004110760036106866,128
5.8,15.939358241461866,0.004261130445911323,128
5.9,16.347083260073862,0.004407656386190564,128
6.0,16.738940456902473,0.004565052432262948,128
6.1,17.12314253749031,0.004699236729534132,128
6.2,17.526288197331628,0.004819229523909182,128
6.3,17.934764511149652,0.005001933357975294,128
6.4,18.355567437413804,0.005171340068529923,128
6.5,18.776263169210793,0.005321356862125287,128
6.6,19.18356064197621,0.005482612971739536,128
6.7,19.625349355790128,0.005684346675762032,128
6.8,20.042387149888075,0.005842391036572037,128
6.9,20.467657518519566,0.005996173337098495,128
7.0,20.903924052276025,0.0061749178208608466,128
7.1,21.351860962737543,0.006343082022209947,128
7.2,21.791944103984985,0.006521021696388484,128
7.3,22.235764110056177,0.0067202750126879734,128
7.4,22.68278601786116,0.006924234396575976,128
7.5,23.13488197083636,0.007130275404422886,128
7.6,23.596485886411447,0.007292923180778846,128
7.7,24.054475075523634,0.007476814313693928,128
7.8,24.513455293770733,0.007614970172753538,128
7.9,24.96638507745876,0.007808933207472995,128
8.0,25.425571740797757,0.00796525714147764,128
8.1,25.89866970592038,0.00815133095834036,128
8.2,26.372844245468283,0.008378782633534528,128
8.3,26.83172993246324,0.008586399206602265,128
8.4,27.301041142919857,0.00879034698119022,128
8.5,27.79320818101003,0.008992608842645283,128
8.6,28.278316922169818,0.009214295385955272,128
8.7,28.764082602492586,0.009428173044556986,128
8.8,29.2551466793235,0.009659872749954394,128
8.9,29.759806258222,0.009884373147657123,128
9.0,30.22921957497407,0.01014226261350155,128
9.1,30.728095757518226,0.01032930582455845,128
9.2,31.211572589162685,0.010548140017465044,128
9.3,31.695645293354076,0.010763139031442475,128
9.4,32.211972031500586,0.010974891105034823,128
9.5,32.70290466764294,0.011178836596660009,128
9.6,33.22121676390054,0.01142233599044117,128
9.7,33.71890115107478,0.011653098890425347,128
9.8,34.21476956801698,0.0118477480370755,128
9.9,34.71663238156358,0.012067765708758022,128
10.0,35.23717192988407,0.01230648496568588,128
10.1,35.74208797660071,0.012547187059176753,128
10.2,36.2338565481428,0.01279610657929697,128
10.3,36.752824806479076,0.012994341438397686,128
10.4,37.252751868291426,0.013237855461362517,128
10.5,37.75629266717839,0.013513835125498383,128
10.6,38.27106257517017,0.013771883932876702,128
10.7,38.78742012165077,0.014020793521876757,128
10.8,39.30481652985637,0.014228260813035399,128
10.9,39.846042734308725,0.014436834050787507,128
11.0,40.36966478948355,0.014641862436575158,128
11.1,40.90035569756772,0.014936902133699923,128
11.2,41.44346146899317,0.01514818762607257,128
11.3,41.98337911288359,0.01540779326039998,128
11.4,42.51618096180124,0.015697068488522533,128
11.5,43.05471492752833,0.01598269083411577,128
11.6,43.60247445160266,0.016235851151220806,128
